label,text,text_normalized,text_clean,lexicon_score,num_chars,num_words,num_sentences,has_phone,has_url,has_money,has_free,uppercase_ratio,punct_density,digit_ratio,exclamation_count,all_caps_words,avg_word_len,currency_count,y_true,y_pred,y_prob
spam,Gửi logo 2 người yêu của bạn - 2 tên được nối bởi một trái tim.,gửi logo 2 người yêu của bạn - 2 tên được nối bởi một trái tim.,gửi logo người_yêu nối trái_tim,-0.0850282147498811,63,16,2,0,0,0,0,0.0158730158730158,0.0,0.0317460317460317,0,0,3.0,1,1,0,0.039055237630581496
spam,"Xin lỗi, tôi đã bỏ lỡ cuộc gọi của bạn, hãy nói chuyện khi bạn có thời gian.","xin lỗi, tôi đã bỏ lỡ cuộc gọi của bạn, hãy nói chuyện khi bạn có thời gian.",xin_lỗi lỡ cuộc_gọi nói_chuyện thời_gian,-0.6542181969675437,76,18,2,0,0,0,0,0.0131578947368421,0.0,0.0,0,0,3.2777777777777777,2,1,0,0.06162534904621048
spam,Bạn có 1 thư thoại mới.,bạn có 1 thư thoại mới.,thư_thoại,0.0,23,6,2,0,0,0,0,0.0434782608695652,0.0,0.0434782608695652,0,0,3.0,0,1,0,0.0674160065749785
spam,Bạn có thể nhận được 2 điện thoại bây giờ không?,bạn có thể nhận được 2 điện thoại bây giờ không?,có_thể điện_thoại bây_giờ,-0.3655899118533781,48,11,2,0,0,0,0,0.0208333333333333,0.0208333333333333,0.0208333333333333,0,0,3.4545454545454546,3,1,0,0.07128256942948363
spam,"Mila, Age23, Tóc vàng, Mới ở Anh.","mila, age23, tóc vàng, mới ở anh.",mila age tóc vàng,0.1577759490706185,33,7,2,0,0,0,0,0.1515151515151515,0.0,0.0606060606060606,0,0,3.857142857142857,0,1,0,0.07136467667193447
spam,Bạn đã bao giờ nghĩ về việc sống một cuộc sống tốt đẹp với một đối tác hoàn hảo?,bạn đã bao giờ nghĩ về việc sống một cuộc sống tốt đẹp với một đối tác hoàn hảo?,bao_giờ sống cuộc_sống tốt_đẹp đối_tác hoàn_hảo,-0.2467124803310587,80,19,2,0,0,0,0,0.0125,0.0125,0.0,0,0,3.263157894736842,3,1,0,0.07500222829870531
spam,"Twinks, gấu, hành tây, da và jocks đang gọi ngay bây giờ.","twinks, gấu, hành tây, da và jocks đang gọi ngay bây giờ.",twinks gấu hành_tây da jocks gọi bây_giờ,-0.2066749025825964,57,12,2,0,0,0,0,0.0175438596491228,0.0,0.0,0,0,3.8333333333333335,3,1,0,0.09613984890217442
spam,Muốn 2 nhận được tối nay?,muốn 2 nhận được tối nay?,tối,-1.0722036425715475,25,6,2,0,0,0,0,0.04,0.04,0.04,0,0,3.333333333333333,1,1,0,0.1492399762658313
spam,"Xin chào, 2 đêm của bạn đêm may mắn!","xin chào, 2 đêm của bạn đêm may mắn!",chào đêm đêm may_mắn,-1.0760472282742968,36,9,2,0,0,0,0,0.0277777777777777,0.0277777777777777,0.0277777777777777,1,0,3.111111111111111,2,1,0,0.1562290293891069
spam,Ngày lễ nắng.,ngày lễ nắng.,lễ nắng,0.0545816486921791,13,3,2,0,0,0,0,0.0769230769230769,0.0,0.0,0,0,3.6666666666666665,0,1,0,0.16782469340473521
