label,text,text_normalized,text_clean,lexicon_score,num_chars,num_words,num_sentences,has_phone,has_url,has_money,has_free,uppercase_ratio,punct_density,digit_ratio,exclamation_count,all_caps_words,avg_word_len,currency_count
spam,Nhập miễn phí trong 2 WKLY Comp để giành chiến thắng FA Cup Final TKTS ngày 21 tháng 5 năm 2005. Văn bản FA đến 87121 để nhận câu hỏi nhập cảnh (tỷ lệ STD TXT) T & C áp dụng 08452810075Over18,nhập miễn phí trong 2 wkly comp để giành chiến thắng fa cup final tkts ngày 21 tháng 5 năm 2005. văn bản fa đến 87121 để nhận câu hỏi nhập cảnh (tỷ lệ std txt) t & c áp dụng 08452810075over18,nhập miễn_phí wkly comp giành chiến_thắng fa cup final tkts ngày_tháng văn_bản fa câu nhập_cảnh tỷ_lệ std txt áp_dụng over,1.5444722679430387,191,42,2,0,0,0,1,0.13612565445026178,0.005235602094240838,0.13612565445026178,0,6,3.5714285714285716,5
ham,"Không, tôi không nghĩ anh ấy đến USF, anh ấy sống quanh đây","không, tôi không nghĩ anh ấy đến usf, anh ấy sống quanh đây",usf sống quanh,-0.5530870617922653,59,13,1,0,0,0,0,0.06779661016949153,0.0,0.0,0,1,3.6153846153846154,4
ham,Ngay cả anh trai tôi cũng không thích nói chuyện với tôi.,ngay cả anh trai tôi cũng không thích nói chuyện với tôi.,anh_trai nói_chuyện,-0.922149220717458,57,12,2,0,0,0,0,0.017543859649122806,0.0,0.0,0,0,3.8333333333333335,1
ham,Theo yêu cầu của bạn 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' đã được đặt làm người gọi của bạn cho tất cả người gọi.,theo yêu cầu của bạn 'melle melle (oru minnaminunginte nurungu vettam)' đã được đặt làm người gọi của bạn cho tất cả người gọi.,yêu_cầu melle melle oru minnaminunginte nurungu vettam gọi tất_cả gọi,0.015017730512663469,127,24,2,0,0,0,0,0.05511811023622047,0.0,0.0,0,0,4.333333333333333,3
spam,Người chiến thắng !!,người chiến thắng !!,chiến_thắng,2.0854413161451912,20,4,3,0,0,0,0,0.05,0.1,0.0,2,0,4.25,0
spam,Có di động của bạn 11 tháng trở lên?,có di động của bạn 11 tháng trở lên?,di_động trở_lên,1.2454532121266777,36,9,2,0,0,0,0,0.027777777777777776,0.027777777777777776,0.05555555555555555,0,0,3.111111111111111,1
ham,"Tôi sẽ về nhà sớm và tôi không muốn nói về những thứ này nữa tối nay, K?","tôi sẽ về nhà sớm và tôi không muốn nói về những thứ này nữa tối nay, không?",tối,-1.0722036425715475,72,18,2,0,0,1,0,0.027777777777777776,0.013888888888888888,0.0,0,1,3.0555555555555554,2
spam,Sáu cơ hội để giành được tiền mặt!,sáu cơ hội để giành được tiền mặt!,sáu cơ_hội giành tiền_mặt,1.6940740060507387,34,8,2,0,0,0,0,0.029411764705882353,0.029411764705882353,0.0,1,0,3.375,2
spam,CẤP BÁCH!,cấp bách!,cấp_bách,2.714049975567565,9,2,2,0,0,0,0,0.7777777777777778,0.1111111111111111,0.0,1,2,4.0,0
ham,Tôi đã tìm kiếm những từ thích hợp để cảm ơn bạn vì hơi thở này.,tôi đã tìm kiếm những từ thích hợp để cảm ơn bạn vì hơi thở này.,tìm_kiếm thích_hợp cảm_ơn hơi thở,0.008549648624171203,64,16,2,0,0,0,0,0.015625,0.0,0.0,0,0,3.0625,3
