label,text,text_normalized,text_clean,lexicon_score,num_chars,num_words,num_sentences,has_phone,has_url,has_money,has_free,uppercase_ratio,punct_density,digit_ratio,exclamation_count,all_caps_words,avg_word_len,currency_count,y_true,y_pred,y_prob
ham,Hãy cho tôi biết cách liên hệ với bạn.,hãy cho tôi biết cách liên hệ với bạn.,liên_hệ,1.851826464963686,38,9,2,0,0,0,0,0.0263157894736842,0.0,0.0,0,0,3.333333333333333,0,0,1,0.9967606302170923
ham,CHÀO!,chào!,chào,-0.892591380309399,5,1,2,0,0,0,0,0.8,0.2,0.0,1,1,5.0,0,0,1,0.9936450260805363
ham,HA!,ha!,ha,2.409560784799403,3,1,2,0,0,0,0,0.6666666666666666,0.3333333333333333,0.0,1,1,3.0,0,0,1,0.9925655795132579
ham,Tôi (sự nghiệp tel) đã thêm u như một liên hệ trên indyarocks.com để gửi SMS miễn phí.,tôi (sự nghiệp tel) đã thêm u như một liên hệ trên indyarocks.com để gửi sms miễn phí.,sự_nghiệp tel liên_hệ indyarocks com gửi sms miễn_phí,0.7306325575006889,86,18,3,0,0,0,1,0.0465116279069767,0.0,0.0,0,1,3.8333333333333335,3,0,1,0.9818819830288158
ham,Babe !!!,babe !!!,babe,0.0749926459523066,8,2,4,0,0,0,0,0.125,0.375,0.0,3,0,3.5,0,0,1,0.9615193240593078
ham,"Chúng tôi đã gửi cho JD cho dịch vụ khách hàng kiêm tài khoản điều hành cho id thư của bạn, để biết chi tiết liên hệ với chúng tôi","chúng tôi đã gửi cho jd cho dịch vụ khách hàng kiêm tài khoản điều hành cho id thư của bạn, để biết chi tiết liên hệ với chúng tôi",chúng_tôi gửi jd dịch_vụ khách_hàng kiêm tài_khoản điều_hành id thư chi_tiết liên_hệ chúng_tôi,0.5452190022718147,130,30,1,0,0,0,0,0.023076923076923,0.0,0.0,0,1,3.3666666666666667,6,0,1,0.9423117225454763
ham,Jordan đã được bầu chọn ra cuối cùng!,jordan đã được bầu chọn ra cuối cùng!,jordan bầu_chọn cuối_cùng,0.5765503486683479,37,8,2,0,0,0,0,0.027027027027027,0.027027027027027,0.0,1,0,3.75,2,0,1,0.9161964333301131
ham,"Chào em. Chị là Ngọc ở AIESEC. Buổi phỏng vấn 7h tối nay mình chuyển sang Sailing coffee, 23 số 82 Chùa Láng em nhé. Lúc đến em liên hệ với chị Hà Phương - sđt +84 96 8577858. See you!","chào em. chị là ngọc ở aiesec. buổi phỏng vấn 7h tối nay mình chuyển sang sailing coffee, 23 số 82 chùa láng em nhé. lúc đến em liên hệ với chị hà phương - số điện thoại +84 96 8577858. see you!",chào ngọc aiesec phỏng_vấn tối sailing coffee chùa láng liên_hệ hà phương điện_thoại see you,-0.1577027943593962,184,41,6,0,0,0,0,0.092391304347826,0.0054347826086956,0.0869565217391304,1,1,3.5121951219512195,2,0,1,0.8698485791838988
ham,Chào!,chào!,chào,-0.892591380309399,5,1,2,0,0,0,0,0.2,0.2,0.0,1,0,5.0,0,0,1,0.8567040883421861
ham,Cô ấy đang trả lời.,cô ấy đang trả lời.,trả_lời,1.0756245262602129,19,5,2,0,0,0,0,0.0526315789473684,0.0,0.0,0,0,3.0,1,0,1,0.851100995258979
ham,Hiện nay?,hiện nay?,hiện_nay,1.3922941355852458,9,2,2,0,0,0,0,0.1111111111111111,0.1111111111111111,0.0,0,0,4.0,0,0,1,0.8368422668332449
ham,Bạn đã nghe từ tuần này chưa?,bạn đã nghe từ tuần này chưa?,tuần,0.790118733231027,29,7,2,0,0,0,0,0.0344827586206896,0.0344827586206896,0.0,0,0,3.2857142857142856,1,0,1,0.830004450976626
ham,Là gr8 để xem tin nhắn đó.,là gr8 để xem tin nhắn đó.,gr nhắn,1.188139105465048,26,7,2,0,0,0,0,0.0384615384615384,0.0,0.0384615384615384,0,0,2.857142857142857,2,0,1,0.7887574327621442
ham,chàng trai mạnh mẽ !,chàng trai mạnh mẽ !,chàng trai mạnh_mẽ,-0.6235841372730998,20,5,2,0,0,0,0,0.0,0.05,0.0,1,0,3.2,0,0,1,0.7457416547700138
ham,Mua sắm?,mua sắm?,mua_sắm,0.2936818469171361,8,2,2,0,0,0,0,0.125,0.125,0.0,0,0,3.5,0,0,1,0.7374955233607888
ham,"Xin chào, tôi có lẽ bạn đang có quá nhiều niềm vui để nhận được tin nhắn này nhưng tôi nghĩ id txt u cos tôi chán!","xin chào, tôi có lẽ bạn đang có quá nhiều niềm vui để nhận được tin nhắn này nhưng tôi nghĩ id txt u cos tôi chán!",chào có_lẽ niềm vui nhắn id txt cos chán,-0.3821410116527921,114,27,2,0,0,0,0,0.0087719298245614,0.0087719298245614,0.0,1,0,3.259259259259259,3,0,1,0.7350480027966058
